"Playlist name","Track name","Artist name"
"Charlotte: The Game Bureau","Carolina in My Mind","James Taylor"
"Charlotte: The Game Bureau","Live and Die","The Avett Brothers"
"Charlotte: The Game Bureau","Brick","Ben Folds Five"
"Charlotte: The Game Bureau","I Believe","Fantasia"
"Charlotte: The Game Bureau","Springsteen","Eric Church"
"Charlotte: The Game Bureau","Work Out","J. Cole"
"Charlotte: The Game Bureau","Rockstar","DaBaby"
"Chicago: The Game Bureau","Go Cubs Go","Steve Goodman"
"Chicago: The Game Bureau","Na Na Hey Hey Kiss Him Goodbye","Steam"
"Chicago: The Game Bureau","The Super Bowl Shuffle","The Chicago Bears Shufflin' Crew"
"Chicago: The Game Bureau","Sirius","The Alan Parsons Project"
"Chicago: The Game Bureau","Chelsea Dagger","The Fratellis"
"Chicago: The Game Bureau","My Kind of Town (Chicago Is)","Frank Sinatra"
"Chicago: The Game Bureau","Homecoming","Kanye West"
"Chicago: The Game Bureau","Sweet Home Chicago","The Blues Brothers"
"Chicago: The Game Bureau","Saturday in the Park","Chicago"
"Chicago: The Game Bureau","The Corner","Common"
"Cincinnati: The Game Bureau","Shut Up and Dance","Walk the Moon"
"Cincinnati: The Game Bureau","Bloodbuzz Ohio","The National"
"Cincinnati: The Game Bureau","Welcome to the Jungle","Guns N' Roses"
"Cincinnati: The Game Bureau","I'd Rather Be with You","Bootsy Collins"
"Cincinnati: The Game Bureau","Debonair","The Afghan Whigs"
"Cincinnati: The Game Bureau","All My Favorite People","Over the Rhine"
"Cincinnati: The Game Bureau","Shout","The Isley Brothers"
"Cincinnati: The Game Bureau","Que Sera, Sera (Whatever Will Be, Will Be)","Doris Day"
"Cincinnati: The Game Bureau","There Is an End","The Greenhornes"
"Cincinnati: The Game Bureau","Oh Lord","Foxy Shazam"
"Cleveland: The Game Bureau","Cleveland Rocks","Ian Hunter"
"Cleveland: The Game Bureau","Love Train","The O'Jays"
"Cleveland: The Game Bureau","Tha Crossroads","Bone Thugs-N-Harmony"
"Cleveland: The Game Bureau","Day 'n' Nite","Kid Cudi"
"Cleveland: The Game Bureau","Head Like a Hole","Nine Inch Nails"
"Cleveland: The Game Bureau","Bad Things","Machine Gun Kelly"
"Cleveland: The Game Bureau","Fast Car","Tracy Chapman"
"Cleveland: The Game Bureau","Funk #49","The James Gang"
"Cleveland: The Game Bureau","My Town","Michael Stanley Band"
"Cleveland: The Game Bureau","Lonely Boy","The Black Keys"
"Corpus Christi: The Game Bureau","Bidi Bidi Bom Bom","Selena"
"Corpus Christi: The Game Bureau","Como La Flor","Selena"
"Corpus Christi: The Game Bureau","Amor Prohibido","Selena"
"Corpus Christi: The Game Bureau","Dreaming of You","Selena"
"Corpus Christi: The Game Bureau","Wasted Days and Wasted Nights","Freddy Fender"
"Corpus Christi: The Game Bureau","Heaven","Los Lonely Boys"
"Corpus Christi: The Game Bureau","Las Nubes","Little Joe y La Familia"
"Corpus Christi: The Game Bureau","Ay Te Dejo en San Antonio","Flaco Jiménez"
"Corpus Christi: The Game Bureau","Baila Esta Cumbia","Selena"
"Corpus Christi: The Game Bureau","Vida","La Mafia"
"Dallas: The Game Bureau","On & On","Erykah Badu"
"Dallas: The Game Bureau","Texas Flood","Stevie Ray Vaughan & Double Trouble"
"Dallas: The Game Bureau","It's Funky Enough","The D.O.C."
"Dallas: The Game Bureau","Timebomb","Old 97's"
"Dallas: The Game Bureau","Digital Witness","St. Vincent"
"Dallas: The Game Bureau","Dallas","The Flatlanders"
"Dallas: The Game Bureau","Goin' Through the Big D","Mark Chesnutt"
"Dallas: The Game Bureau","We Dem Boyz","Wiz Khalifa"
"Dallas: The Game Bureau","Cowboys from Hell","Pantera"
"Dallas: The Game Bureau","Higher","Creed"
"Dearborn: The Game Bureau","Making Thunderbirds","Bob Seger"
"Dearborn: The Game Bureau","Night Moves","Bob Seger & The Silver Bullet Band"
"Dearborn: The Game Bureau","Seven Nation Army","The White Stripes"
"Dearborn: The Game Bureau","School's Out","Alice Cooper"
"Dearborn: The Game Bureau","Stranglehold","Ted Nugent"
"Dearborn: The Game Bureau","Kick Out the Jams","MC5"
"Dearborn: The Game Bureau","I Wanna Be Your Dog","The Stooges"
"Dearborn: The Game Bureau","We're an American Band","Grand Funk Railroad"
"Dearborn: The Game Bureau","Bawitdaba","Kid Rock"
"Dearborn: The Game Bureau","Devil with a Blue Dress On","Mitch Ryder & The Detroit Wheels"
"Denver: The Game Bureau","Rocky Mountain High","John Denver"
"Denver: The Game Bureau","How to Save a Life","The Fray"
"Denver: The Game Bureau","Counting Stars","OneRepublic"
"Denver: The Game Bureau","How It Ends","DeVotchKa"
"Denver: The Game Bureau","Ho Hey","The Lumineers"
"Denver: The Game Bureau","S.O.B.","Nathaniel Rateliff & The Night Sweats"
"Denver: The Game Bureau","Bittersweet","Big Head Todd and the Monsters"
"Denver: The Game Bureau","Handlebars","Flobots"
"Denver: The Game Bureau","Don't Trust Me","3OH!3"
"Denver: The Game Bureau","You Are the Woman","Firefall"
"Detroit: The Game Bureau","What's Going On","Marvin Gaye"
"Detroit: The Game Bureau","My Girl","The Temptations"
"Detroit: The Game Bureau","Lose Yourself","Eminem"
"Detroit: The Game Bureau","Respect","Aretha Franklin"
"Detroit: The Game Bureau","Superstition","Stevie Wonder"
"Detroit: The Game Bureau","You Can't Hurry Love","The Supremes"
"Detroit: The Game Bureau","Detroit vs. Everybody","Eminem"
"Detroit: The Game Bureau","Old Time Rock and Roll","Bob Seger & The Silver Bullet Band"
"Detroit: The Game Bureau","The Tears of a Clown","Smokey Robinson & The Miracles"
"Detroit: The Game Bureau","Reach Out I'll Be There","Four Tops"
"Glendale: The Game Bureau","El Paso","Marty Robbins"
"Glendale: The Game Bureau","Hey Jealousy","Gin Blossoms"
"Glendale: The Game Bureau","The Middle","Jimmy Eat World"
"Glendale: The Game Bureau","Poison","Alice Cooper"
"Glendale: The Game Bureau","Backwater","Meat Puppets"
"Glendale: The Game Bureau","Edge of Seventeen","Stevie Nicks"
"Glendale: The Game Bureau","The First Single (You Know Me)","The Format"
"Glendale: The Game Bureau","Green and Dumb","Roger Clyne & The Peacemakers"
"Glendale: The Game Bureau","Over Seasons","Authority Zero"
"Glendale: The Game Bureau","In the End","Linkin Park"
"Green Bay: The Game Bureau","Bang the Drum All Day","Todd Rundgren"
"Green Bay: The Game Bureau","Go! You Packers! Go!","Green Bay Packers"
"Green Bay: The Game Bureau","Closer to Free","BoDeans"
"Green Bay: The Game Bureau","Skinny Love","Bon Iver"
"Green Bay: The Game Bureau","Blister in the Sun","Violent Femmes"
"Green Bay: The Game Bureau","Only Happy When It Rains","Garbage"
"Green Bay: The Game Bureau","The Joker","Steve Miller Band"
"Green Bay: The Game Bureau","How High the Moon","Les Paul & Mary Ford"
"Green Bay: The Game Bureau","Fadeaway","BoDeans"
"Green Bay: The Game Bureau","Add It Up","Violent Femmes"
"Houston: The Game Bureau","La Grange","ZZ Top"
"Houston: The Game Bureau","Love on Top","Beyoncé"
"Houston: The Game Bureau","Mind Playing Tricks on Me","Geto Boys"
"Houston: The Game Bureau","Still Tippin'","Mike Jones"
"Houston: The Game Bureau","Say My Name","Destiny's Child"
"Houston: The Game Bureau","SICKO MODE","Travis Scott"
"Houston: The Game Bureau","Sittin' Sidewayz","Paul Wall"
"Houston: The Game Bureau","Tighten Up","Archie Bell & The Drells"
"Houston: The Game Bureau","Mojo Hand","Lightnin' Hopkins"
"Houston: The Game Bureau","Int'l Players Anthem (I Choose You)","UGK"
"Indianapolis: The Game Bureau","Back Home Again in Indiana","Louis Armstrong"
"Indianapolis: The Game Bureau","Small Town","John Mellencamp"
"Indianapolis: The Game Bureau","I Want You Back","The Jackson 5"
"Indianapolis: The Game Bureau","When Can I See You","Babyface"
"Indianapolis: The Game Bureau","Jack & Diane","John Mellencamp"
"Indianapolis: The Game Bureau","Bumpin' on Sunset","Wes Montgomery"
"Indianapolis: The Game Bureau","ABC","The Jackson 5"
"Indianapolis: The Game Bureau","Thuggin'","Freddie Gibbs"
"Indianapolis: The Game Bureau","Night and Day","Cole Porter"
"Indianapolis: The Game Bureau","Paradise City","Guns N' Roses"
"Jacksonville: The Game Bureau","Free Bird","Lynyrd Skynyrd"
"Jacksonville: The Game Bureau","Sweet Home Alabama","Lynyrd Skynyrd"
"Jacksonville: The Game Bureau","Hold On Loosely",".38 Special"
"Jacksonville: The Game Bureau","Flirtin' with Disaster","Molly Hatchet"
"Jacksonville: The Game Bureau","Rollin' (Air Raid Vehicle)","Limp Bizkit"
"Jacksonville: The Game Bureau","Ocean Avenue","Yellowcard"
"Jacksonville: The Game Bureau","Second Chance","Shinedown"
"Jacksonville: The Game Bureau","Simple Man","Lynyrd Skynyrd"
"Jacksonville: The Game Bureau","Face Down","The Red Jumpsuit Apparatus"
"Jacksonville: The Game Bureau","Train, Train","Blackfoot"
"Kansas City: The Game Bureau","Kansas City","Wilbert Harrison"
"Kansas City: The Game Bureau","Red Kingdom","Tech N9ne"
"Kansas City: The Game Bureau","One O'Clock Jump","Count Basie"
"Kansas City: The Game Bureau","Ornithology","Charlie Parker"
"Kansas City: The Game Bureau","Shake, Rattle and Roll","Big Joe Turner"
"Kansas City: The Game Bureau","Tightrope","Janelle Monáe"
"Kansas City: The Game Bureau","Blurry","Puddle of Mudd"
"Kansas City: The Game Bureau","Ten Minutes","The Get Up Kids"
"Kansas City: The Game Bureau","Caribou Lou","Tech N9ne"
"Kansas City: The Game Bureau","Come to My Window","Melissa Etheridge"
"Las Vegas: The Game Bureau","Viva Las Vegas","Elvis Presley"
"Las Vegas: The Game Bureau","Mr. Brightside","The Killers"
"Las Vegas: The Game Bureau","Luck Be a Lady","Frank Sinatra"
"Las Vegas: The Game Bureau","I Write Sins Not Tragedies","Panic! at the Disco"
"Las Vegas: The Game Bureau","Radioactive","Imagine Dragons"
"Las Vegas: The Game Bureau","Leaving Las Vegas","Sheryl Crow"
"Las Vegas: The Game Bureau","When You Were Young","The Killers"
"Las Vegas: The Game Bureau","Danke Schoen","Wayne Newton"
"Las Vegas: The Game Bureau","Waking Up in Vegas","Katy Perry"
"Las Vegas: The Game Bureau","Believer","Imagine Dragons"
"London, England: The Game Bureau","London Calling","The Clash"
"London, England: The Game Bureau","Waterloo Sunset","The Kinks"
"London, England: The Game Bureau","Streets of London","Ralph McTell"
"London, England: The Game Bureau","Down in the Tube Station at Midnight","The Jam"
"London, England: The Game Bureau","LDN","Lily Allen"
"London, England: The Game Bureau","Werewolves of London","Warren Zevon"
"London, England: The Game Bureau","Up the Junction","Squeeze"
"London, England: The Game Bureau","Parklife","Blur"
"London, England: The Game Bureau","Hometown Glory","Adele"
"London, England: The Game Bureau","Play with Fire","The Rolling Stones"
"Los Angeles: The Game Bureau","I Love L.A.","Randy Newman"
"Los Angeles: The Game Bureau","California Love","2Pac"
"Los Angeles: The Game Bureau","Californication","Red Hot Chili Peppers"
"Los Angeles: The Game Bureau","California Dreamin'","The Mamas & the Papas"
"Los Angeles: The Game Bureau","Straight Outta Compton","N.W.A"
"Los Angeles: The Game Bureau","Alright","Kendrick Lamar"
"Los Angeles: The Game Bureau","What I Got","Sublime"
"Los Angeles: The Game Bureau","L.A. Woman","The Doors"
"Los Angeles: The Game Bureau","Gin and Juice","Snoop Dogg"
"Los Angeles: The Game Bureau","I Get Around","The Beach Boys"
"Madrid: The Game Bureau","Pongamos que hablo de Madrid","Joaquín Sabina"
"Madrid: The Game Bureau","Hijo de la Luna","Mecano"
"Madrid: The Game Bureau","A Quién Le Importa","Alaska y Dinarama"
"Madrid: The Game Bureau","Chica de Ayer","Nacha Pop"
"Madrid: The Game Bureau","Hala Madrid y Nada Más","Real Madrid C.F."
"Madrid: The Game Bureau","Enamorado de la Moda Juvenil","Radio Futura"
"Madrid: The Game Bureau","Déjame","Los Secretos"
"Madrid: The Game Bureau","Malamente","Rosalía"
"Madrid: The Game Bureau","Rosas","La Oreja de Van Gogh"
"Madrid: The Game Bureau","Y Viva España","Manolo Escobar"
"Melbourne, Victoria: The Game Bureau","Leaps and Bounds","Paul Kelly"
"Melbourne, Victoria: The Game Bureau","Down Under","Men at Work"
"Melbourne, Victoria: The Game Bureau","Don't Dream It's Over","Crowded House"
"Melbourne, Victoria: The Game Bureau","Living in the 70's","Skyhooks"
"Melbourne, Victoria: The Game Bureau","Red Right Hand","Nick Cave & The Bad Seeds"
"Melbourne, Victoria: The Game Bureau","Sweet Disposition","The Temper Trap"
"Melbourne, Victoria: The Game Bureau","Avant Gardener","Courtney Barnett"
"Melbourne, Victoria: The Game Bureau","Can't Get You Out of My Head","Kylie Minogue"
"Melbourne, Victoria: The Game Bureau","Throw Your Arms Around Me","Hunters & Collectors"
"Melbourne, Victoria: The Game Bureau","From St Kilda to Kings Cross","Paul Kelly"
"Mexico City: The Game Bureau","Eres","Café Tacvba"
"Mexico City: The Game Bureau","Chilanga Banda","Café Tacvba"
"Mexico City: The Game Bureau","Sábado Distrito Federal","Chava Flores"
"Mexico City: The Game Bureau","Gimme Tha Power","Molotov"
"Mexico City: The Game Bureau","La Célula Que Explota","Caifanes"
"Mexico City: The Game Bureau","Pachuco","Maldita Vecindad"
"Mexico City: The Game Bureau","Labios Rotos","Zoé"
"Mexico City: The Game Bureau","Querida","Juan Gabriel"
"Mexico City: The Game Bureau","El Triste","José José"
"Mexico City: The Game Bureau","Hasta la Raíz","Natalia Lafourcade"
"Miami Gardens: The Game Bureau","Hustlin'","Rick Ross"
"Miami Gardens: The Game Bureau","My House","Flo Rida"
"Miami Gardens: The Game Bureau","Take It to da House","Trick Daddy"
"Miami Gardens: The Game Bureau","Da Baddest","Trina"
"Miami Gardens: The Game Bureau","Miami Dolphins Anthem (Number 1)","Adjnamedroach"
"Miami Gardens: The Game Bureau","All I Do Is Win","DJ Khaled"
"Miami Gardens: The Game Bureau","Low","Flo Rida"
"Miami Gardens: The Game Bureau","The Boss","Rick Ross"
"Miami Gardens: The Game Bureau","Grind on Me","Pretty Ricky"
"Miami Gardens: The Game Bureau","Culo","Pitbull"
"Miami: The Game Bureau","Miami","Will Smith"
"Miami: The Game Bureau","Conga","Gloria Estefan & Miami Sound Machine"
"Miami: The Game Bureau","Bad Boy","Miami Sound Machine"
"Miami: The Game Bureau","Give Me Everything","Pitbull"
"Miami: The Game Bureau","That's the Way (I Like It)","KC and the Sunshine Band"
"Miami: The Game Bureau","La Vida Es Un Carnaval","Celia Cruz"
"Miami: The Game Bureau","Me So Horny","2 Live Crew"
"Miami: The Game Bureau","Act Up","City Girls"
"Miami: The Game Bureau","I Know You Want Me (Calle Ocho)","Pitbull"
"Miami: The Game Bureau","Just Another Day","Jon Secada"
"Milwaukee: The Game Bureau","We're in This Love Together","Al Jarreau"
"Milwaukee: The Game Bureau","Gone Daddy Gone","Violent Femmes"
"Milwaukee: The Game Bureau","Fly Like an Eagle","Steve Miller Band"
"Milwaukee: The Game Bureau","Spend My Life with You","Eric Benét"
"Milwaukee: The Game Bureau","Why Did Ever We Meet","The Promise Ring"
"Milwaukee: The Game Bureau","Beer Barrel Polka (Roll Out the Barrel)","Frankie Yankovic"
"Milwaukee: The Game Bureau","I'll Be Seeing You","Liberace"
"Milwaukee: The Game Bureau","My Projects","Coo Coo Cal"
"Milwaukee: The Game Bureau","Good Things","BoDeans"
"Milwaukee: The Game Bureau","Angry Words","Willy Porter"
"Minneapolis: The Game Bureau","Purple Rain","Prince"
"Minneapolis: The Game Bureau","1999","Prince"
"Minneapolis: The Game Bureau","Alex Chilton","The Replacements"
"Minneapolis: The Game Bureau","Makes No Sense at All","Hüsker Dü"
"Minneapolis: The Game Bureau","Like a Rolling Stone","Bob Dylan"
"Minneapolis: The Game Bureau","Runaway Train","Soul Asylum"
"Minneapolis: The Game Bureau","Jungle Love","The Time"
"Minneapolis: The Game Bureau","Good as Hell","Lizzo"
"Minneapolis: The Game Bureau","Sunshine","Atmosphere"
"Minneapolis: The Game Bureau","Closing Time","Semisonic"
"Mobile: The Game Bureau","Keep On Smilin'","Wet Willie"
"Mobile: The Game Bureau","A Pirate Looks at Forty","Jimmy Buffett"
"Mobile: The Game Bureau","Your Cheatin' Heart","Hank Williams"
"Mobile: The Game Bureau","When a Man Loves a Woman","Percy Sledge"
"Mobile: The Game Bureau","Brick House","Commodores"
"Mobile: The Game Bureau","Dixieland Delight","Alabama"
"Mobile: The Game Bureau","Way Down in the Hole","The Blind Boys of Alabama"
"Mobile: The Game Bureau","Pop the Trunk","Yelawolf"
"Mobile: The Game Bureau","Saint Louis Blues","W.C. Handy"
"Mobile: The Game Bureau","Boulder to Birmingham","Emmylou Harris"
"Munich: The Game Bureau","Skandal im Sperrbezirk","Spider Murphy Gang"
"Munich: The Game Bureau","I Feel Love","Donna Summer"
"Munich: The Game Bureau","Stern des Südens","Willy Astor"
"Munich: The Game Bureau","Ohne Dich","Münchener Freiheit"
"Munich: The Game Bureau","Ein Kompliment","Sportfreunde Stiller"
"Munich: The Game Bureau","Nackert","LaBrassBanda"
"Munich: The Game Bureau","Lang scho nimmer g'sehn","Haindling"
"Munich: The Game Bureau","Wo bist du?","Spider Murphy Gang"
"Munich: The Game Bureau","Willy","Konstantin Wecker"
"Munich: The Game Bureau","Bayern","Die Toten Hosen"
"Nashville: The Game Bureau","Ring of Fire","Johnny Cash"
"Nashville: The Game Bureau","Jolene","Dolly Parton"
"Nashville: The Game Bureau","Coal Miner's Daughter","Loretta Lynn"
"Nashville: The Game Bureau","Crazy","Patsy Cline"
"Nashville: The Game Bureau","Hey Good Lookin'","Hank Williams"
"Nashville: The Game Bureau","Use Somebody","Kings of Leon"
"Nashville: The Game Bureau","Ain't It Fun","Paramore"
"Nashville: The Game Bureau","Steady, as She Goes","The Raconteurs"
"Nashville: The Game Bureau","Stand by Your Man","Tammy Wynette"
"Nashville: The Game Bureau","Everlasting Love","Robert Knight"
"New Orleans: The Game Bureau","Do You Know What It Means to Miss New Orleans","Louis Armstrong"
"New Orleans: The Game Bureau","Walking to New Orleans","Fats Domino"
"New Orleans: The Game Bureau","Go to the Mardi Gras","Professor Longhair"
"New Orleans: The Game Bureau","Hey Pocky A-Way","The Meters"
"New Orleans: The Game Bureau","Right Place Wrong Time","Dr. John"
"New Orleans: The Game Bureau","Do Whatcha Wanna","Rebirth Brass Band"
"New Orleans: The Game Bureau","Drop Me Off in New Orleans","Kermit Ruffins"
"New Orleans: The Game Bureau","Explode","Big Freedia"
"New Orleans: The Game Bureau","Choppa Style","Choppa"
"New Orleans: The Game Bureau","When the Saints Go Marching In","Louis Armstrong"
"New York: The Game Bureau","Theme from New York, New York","Frank Sinatra"
"New York: The Game Bureau","Empire State of Mind","JAY-Z"
"New York: The Game Bureau","New York State of Mind","Billy Joel"
"New York: The Game Bureau","I'm Waiting for the Man","The Velvet Underground"
"New York: The Game Bureau","No Sleep till Brooklyn","Beastie Boys"
"New York: The Game Bureau","The Only Living Boy in New York","Simon & Garfunkel"
"New York: The Game Bureau","New York, I Love You but You're Bringing Me Down","LCD Soundsystem"
"New York: The Game Bureau","N.Y. State of Mind","Nas"
"New York: The Game Bureau","The Message","Grandmaster Flash and the Furious Five"
"New York: The Game Bureau","Sheena Is a Punk Rocker","Ramones"
"Orchard Park: The Game Bureau","Thunderstruck","AC/DC"
"Orchard Park: The Game Bureau","We're Not Gonna Take It","Twisted Sister"
"Orchard Park: The Game Bureau","Jump Around","House of Pain"
"Orchard Park: The Game Bureau","Crazy Train","Ozzy Osbourne"
"Orchard Park: The Game Bureau","Livin' on a Prayer","Bon Jovi"
"Orchard Park: The Game Bureau","Don't Stop Believin'","Journey"
"Orchard Park: The Game Bureau","All Summer Long","Kid Rock"
"Orchard Park: The Game Bureau","Enter Sandman","Metallica"
"Orchard Park: The Game Bureau","It Takes Two","Rob Base & DJ EZ Rock"
"Orchard Park: The Game Bureau","Sweet Caroline","Neil Diamond"
"Paris: The Game Bureau","La Vie en Rose","Édith Piaf"
"Paris: The Game Bureau","La Bohème","Charles Aznavour"
"Paris: The Game Bureau","Les Champs-Élysées","Joe Dassin"
"Paris: The Game Bureau","Non, Je Ne Regrette Rien","Édith Piaf"
"Paris: The Game Bureau","Around the World","Daft Punk"
"Paris: The Game Bureau","Je t'aime... moi non plus","Serge Gainsbourg"
"Paris: The Game Bureau","Il est cinq heures, Paris s'éveille","Jacques Dutronc"
"Paris: The Game Bureau","1901","Phoenix"
"Paris: The Game Bureau","Je veux","Zaz"
"Paris: The Game Bureau","Sous le ciel de Paris","Yves Montand"
"Philadelphia: The Game Bureau","Streets of Philadelphia","Bruce Springsteen"
"Philadelphia: The Game Bureau","Motownphilly","Boyz II Men"
"Philadelphia: The Game Bureau","She's Gone","Daryl Hall & John Oates"
"Philadelphia: The Game Bureau","Back Stabbers","The O'Jays"
"Philadelphia: The Game Bureau","Dreams and Nightmares","Meek Mill"
"Philadelphia: The Game Bureau","Gonna Fly Now (Theme from Rocky)","Bill Conti"
"Philadelphia: The Game Bureau","Fly, Eagles Fly","Philadelphia Eagles"
"Philadelphia: The Game Bureau","You Got Me","The Roots"
"Philadelphia: The Game Bureau","Lady Marmalade","Patti LaBelle"
"Philadelphia: The Game Bureau","The Twist","Chubby Checker"
"Phoenix: The Game Bureau","Rebel-Rouser","Duane Eddy"
"Phoenix: The Game Bureau","Everywhere","Michelle Branch"
"Phoenix: The Game Bureau","What Was I Thinkin'","Dierks Bentley"
"Phoenix: The Game Bureau","Numb","Linkin Park"
"Phoenix: The Game Bureau","Girls Do What They Want","The Maine"
"Phoenix: The Game Bureau","No Air","Jordin Sparks"
"Phoenix: The Game Bureau","Found Out About You","Gin Blossoms"
"Phoenix: The Game Bureau","Sweetness","Jimmy Eat World"
"Phoenix: The Game Bureau","Landslide","Stevie Nicks"
"Phoenix: The Game Bureau","I'm Eighteen","Alice Cooper"
"Pittsburgh: The Game Bureau","Black and Yellow","Wiz Khalifa"
"Pittsburgh: The Game Bureau","Frick Park Market","Mac Miller"
"Pittsburgh: The Game Bureau","Party on Fifth Ave.","Mac Miller"
"Pittsburgh: The Game Bureau","Ah! Leah!","Donnie Iris"
"Pittsburgh: The Game Bureau","Pumping Iron","Joe Grushecky and The Houserockers"
"Pittsburgh: The Game Bureau","Forever","Code Orange"
"Pittsburgh: The Game Bureau","Here We Go","Roger Wood"
"Pittsburgh: The Game Bureau","Renegade","Styx"
"Pittsburgh: The Game Bureau","We Are Family","Sister Sledge"
"Pittsburgh: The Game Bureau","Party Hard","Andrew W.K."
"Raleigh: The Game Bureau","'74-'75","The Connells"
"Raleigh: The Game Bureau","Slack Motherf***er","Superchunk"
"Raleigh: The Game Bureau","16 Days","Whiskeytown"
"Raleigh: The Game Bureau","Albatross","Corrosion of Conformity"
"Raleigh: The Game Bureau","Coffee","Sylvan Esso"
"Raleigh: The Game Bureau","Bottom of the River","Delta Rae"
"Raleigh: The Game Bureau","Lovin' It","Little Brother"
"Raleigh: The Game Bureau","New York, New York","Ryan Adams"
"Raleigh: The Game Bureau","Black and White","The dB's"
"Raleigh: The Game Bureau","Sassy","Rapsody"
"Richmond: The Game Bureau","Brown Sugar","D'Angelo"
